regency_id,district_id,province_id,name
1101010,1101,11,TEUPAH SELATAN
1101020,1101,11,SIMEULUE TIMUR
1101021,1101,11,TEUPAH BARAT
1101022,1101,11,TEUPAH TENGAH
1101030,1101,11,SIMEULUE TENGAH
1101031,1101,11,TELUK DALAM
1101032,1101,11,SIMEULUE CUT
1101040,1101,11,SALANG
1101050,1101,11,SIMEULUE BARAT
1101051,1101,11,ALAFAN
1102010,1102,11,PULAU BANYAK
1102011,1102,11,PULAU BANYAK BARAT
1102020,1102,11,SINGKIL
1102021,1102,11,SINGKIL UTARA
1102022,1102,11,KUALA BARU
1102030,1102,11,SIMPANG KANAN
1102031,1102,11,GUNUNG MERIAH
1102032,1102,11,DANAU PARIS
1102033,1102,11,SURO
1102042,1102,11,SINGKOHOR
1102043,1102,11,KOTA BAHARU
1103010,1103,11,TRUMON
1103011,1103,11,TRUMON TIMUR
1103012,1103,11,TRUMON TENGAH
1103020,1103,11,BAKONGAN
1103021,1103,11,BAKONGAN TIMUR
1103022,1103,11,KOTA BAHAGIA
1103030,1103,11,KLUET SELATAN
1103031,1103,11,KLUET TIMUR
1103040,1103,11,KLUET UTARA
1103041,1103,11,PASIE RAJA
1103042,1103,11,KLUET TENGAH
1103050,1103,11,TAPAK TUAN
1103060,1103,11,SAMA DUA
1103070,1103,11,SAWANG
1103080,1103,11,MEUKEK
1103090,1103,11,LABUHAN HAJI
1103091,1103,11,LABUHAN HAJI TIMUR
1103092,1103,11,LABUHAN HAJI BARAT
1104010,1104,11,LAWE ALAS
1104011,1104,11,BABUL RAHMAH
1104012,1104,11,TANOH ALAS
1104020,1104,11,LAWE SIGALA-GALA
1104021,1104,11,BABUL MAKMUR
1104022,1104,11,SEMADAM
1104023,1104,11,LEUSER
1104030,1104,11,BAMBEL
1104031,1104,11,BUKIT TUSAM
1104032,1104,11,LAWE SUMUR
1104040,1104,11,BABUSSALAM
1104041,1104,11,LAWE BULAN
1104050,1104,11,BADAR
1104051,1104,11,DARUL HASANAH
1104052,1104,11,KETAMBE
1104053,1104,11,DELENG POKHKISEN
1105080,1105,11,SERBA JADI
1105081,1105,11,SIMPANG JERNIH
1105082,1105,11,PEUNARON
1105090,1105,11,BIREM BAYEUN
1105100,1105,11,RANTAU SELAMAT
1105101,1105,11,SUNGAI RAYA
1105110,1105,11,PEUREULAK
1105111,1105,11,PEUREULAK TIMUR
1105112,1105,11,PEUREULAK BARAT
1105120,1105,11,RANTO PEUREULAK
1105130,1105,11,IDI RAYEUK
1105131,1105,11,PEUDAWA
1105132,1105,11,BANDA ALAM
1105133,1105,11,IDI TUNONG
1105134,1105,11,DARUL IHSAN
1105135,1105,11,IDI TIMUR
1105140,1105,11,DARUL AMAN
1105150,1105,11,NURUSSALAM
1105151,1105,11,DARUL FALAH
1105160,1105,11,JULOK
1105161,1105,11,INDRA MAKMUR
1105170,1105,11,PANTE BIDARI
1105180,1105,11,SIMPANG ULIM
1105181,1105,11,MADAT
1106010,1106,11,LINGE
1106011,1106,11,ATU LINTANG
1106012,1106,11,JAGONG JEGET
1106020,1106,11,BINTANG
1106031,1106,11,LUT TAWAR
1106032,1106,11,KEBAYAKAN
1106040,1106,11,PEGASING
1106041,1106,11,BIES
1106050,1106,11,BEBESEN
1106051,1106,11,KUTE PANANG
1106060,1106,11,SILIH NARA
1106061,1106,11,KETOL
1106062,1106,11,CELALA
1106063,1106,11,RUSIP ANTARA
1107050,1107,11,JOHAN PAHLAWAN
1107060,1107,11,SAMATIGA
1107061,1107,11,BUBON
1107062,1107,11,ARONGAN LAMBALEK
1107070,1107,11,WOYLA
1107071,1107,11,WOYLA BARAT
1107072,1107,11,WOYLA TIMUR
1107080,1107,11,KAWAY XVI
1107081,1107,11,MEUREUBO
1107082,1107,11,PANTAI CEUREMEN
1107083,1107,11,PANTON REU
1107090,1107,11,SUNGAI MAS
1108010,1108,11,LHOONG
1108020,1108,11,LHOKNGA
1108021,1108,11,LEUPUNG
1108030,1108,11,INDRAPURI
1108031,1108,11,KUTA COT GLIE
1108040,1108,11,SEULIMEUM
1108041,1108,11,KOTA JANTHO
1108042,1108,11,LEMBAH SEULAWAH
1108050,1108,11,MESJID RAYA
1108060,1108,11,DARUSSALAM
