id,name,kadin_code,board_of_director,signature
11,NANGROE ACEH DARUSSALAM,101,Ir. H. Muhammad Iqba,-
12,SUMATERA UTARA,102,Firsal Ferial Mutyara,-
13,SUMATERA BARAT,103,"Ir. H. Buchari Bachter, MT",-
14,RIAU,104,Masuri,-
15,JAMBI,105,Usman Sulaiman,-
16,SUMATERA SELATAN,107,"H. Affandi Udji, SE, MM",-
17,BENGKULU,106,sedang melaksanakan muprov,-
18,LAMPUNG,108,"Dr. H. Muhammad Kadafi, SH, MH",-
19,BANGKA BELITUNG,109,"Ir. Thomas Jusman, MM",-
21,KEPULAUAN RIAU,110,Akhmad Ma’ruf Maulana,-
31,DKI JAKARTA,202,Diana Dewi,-
32,JAWA BARAT,201,"Drs. H. Cucu Sutara, MM",-
33,JAWA TENGAH,203,"Harry Nuryanto Soediro, SE, MM",-
34,DI YOGYAKARTA,204,GKR. Mangkubumi,-
35,JAWA TIMUR,205,"Adik Dwi Putranto, SH",-
36,BANTEN,206,H. Mochamad Azzari Jayabaya,-
51,BALI,501,I Made Ariandi,-
52,NUSA TENGGARA BARAT,502,"H. Faurani, SE, MBA",-
53,NUSA TENGGARA TIMUR,503,Bobby Lianto,-
61,KALIMANTAN BARAT,301,"H. Joni Isnaini. SH.,M.Kn",-
62,KALIMANTAN TENGAH,302,Rahmat Nasution Hamka,-
63,KALIMANTAN SELATAN,303,"Shinta Laksmi Dewi, SE",-
64,KALIMANTAN TIMUR,304,Dayang Donna Faroek,-
65,KALIMANTAN UTARA,304,Kilit Laing,-
71,SULAWESI UTARA,401,Rio Dondokambey,-
72,SULAWESI TENGAH,402,"H. M. Nur DG. Rahmatu, SE",-
73,SULAWESI SELATAN,404,"H. Andi Iwan Darmawan Aras, SE, M.Si",-
74,SULAWESI TENGGARA,403,Anton Timbang,-
75,GORONTALO,405,Muhalim Djafar Litty,-
76,SULAWESI BARAT,406,H. Muh. Taslim Tammauni,-
81,MALUKU,601,Muhammad Armin Syarif Latuconsina,-
82,MALUKU UTARA,602,Adam Marsaoly,-
91,PAPUA BARAT,604,H. Amir Hamzah (Caretaker),-
94,PAPUA,603,"Ronald Antonio, S.Sos",-
